region_id,region_name,modal_probability,effective_outcomes,outcome_entropy,seats_alp,mean_alp,primary_alp,baseline_alp,change_alp,at_least_one_alp,at_least_two_alp,seats_lib_nat,mean_lib_nat,primary_lib_nat,baseline_lib_nat,change_lib_nat,at_least_one_lib_nat,at_least_two_lib_nat,seats_onp,mean_onp,primary_onp,baseline_onp,change_onp,at_least_one_onp,at_least_two_onp,seats_grn,mean_grn,primary_grn,baseline_grn,change_grn,at_least_one_grn,at_least_two_grn,seats_oth_ind,mean_oth_ind,primary_oth_ind,baseline_oth_ind,change_oth_ind,at_least_one_oth_ind,at_least_two_oth_ind
eastern-victoria,Eastern Victoria,0.6436,2.40816641974604,0.3999889885239702,1,1.0036,19.125915143731103,28.168125849446234,-9.042210705715132,1.0,0.0036,2,1.953,32.17312527626355,34.52690377627772,-2.3537785000141724,1.0,0.9514,2,1.692,29.279535975584775,2.608661057143005,26.67087491844177,1.0,0.692,0,0.013,9.599004569258952,8.884613303035636,0.7143912662233163,0.013,0.0,0,0.3384,9.822419035161756,25.8116960140974,-15.989276978935644,0.3384,0.0
north-eastern-metropolitan,North-Eastern Metropolitan,0.4596,3.0818101476753528,0.46937710224606444,2,1.639,27.98445050606513,35.28148148212026,-7.297030976055133,1.0,0.639,2,1.8192,29.558896820499665,31.629184783054875,-2.0702879625552093,1.0,0.819,1,1.0064,20.1080720186537,1.7522695460113407,18.35580247264236,0.9998,0.0066,0,0.524,13.620284750871287,10.662692528436445,2.957592222434842,0.524,0.0,0,0.0114,8.728295903910162,20.674371660377076,-11.946075756466914,0.0114,0.0
northern-metropolitan,Northern Metropolitan,0.9792,1.1343990243654005,0.06480413127603611,2,1.9964,32.83778263347876,37.36967728902265,-4.531894655543887,1.0,0.996,1,0.9902,16.07719437033333,22.764722235413,-6.6875278650796695,0.9902,0.0,1,0.993,18.004664024001777,2.035394862345001,15.969269161656776,0.993,0.0,1,1.004,23.289612438197192,15.486886799147253,7.802725639049939,1.0,0.004,0,0.0164,9.79074653398895,22.343318814072102,-12.552572280083153,0.0164,0.0
northern-victoria,Northern Victoria,0.4964,2.9198681011102856,0.48767816246911927,1,1.0038,19.38723081480182,26.837061209432022,-7.449830394630201,1.0,0.0038,2,1.681,29.22233398394368,30.691691527634458,-1.4693575436907764,1.0,0.681,1,1.4994,29.79961170749823,2.5284884170784108,27.27112329041982,1.0,0.4994,0,0.004,9.240649691733749,7.778497150990245,1.4621525407435039,0.004,0.0,1,0.8118,12.350173802022457,32.16426169486486,-19.814087892842405,0.8118,0.0
south-eastern-metropolitan,South-Eastern Metropolitan,0.4022,4.825886524059512,0.6835771056883521,2,1.7948,27.32621116848514,36.92372988007018,-9.597518711585035,1.0,0.7948,1,1.4414,26.057661171283463,29.514330367132434,-3.4566691958489706,1.0,0.4414,2,1.5294,27.418930366996037,2.024458584742611,25.394471782253426,1.0,0.5294,0,0.0242,8.880993290763037,8.920758137055055,-0.03976484629201771,0.0242,0.0,0,0.2102,10.316204002472304,22.61672303099972,-12.300519028527415,0.2102,0.0
southern-metropolitan,Southern Metropolitan,0.5004,3.173788554761792,0.46477641406619463,1,1.0072,22.799861688870728,27.24889965901907,-4.449037970148343,1.0,0.0072,2,1.9736,34.4790063237741,31.055924554107072,3.4230817696670286,1.0,0.9728,1,0.7038,14.29331698988396,1.0627818922319363,13.230535097652025,0.7038,0.0,1,0.8206,14.556354014783205,11.139815070644014,3.416538944139191,0.8206,0.0,0,0.4948,13.871460982688047,29.49257882399791,-15.621117841309863,0.4948,0.0
western-metropolitan,Western Metropolitan,0.3802,4.954559281452922,0.6950050291249052,2,1.6128,28.011906602189917,37.9059471803869,-9.894040578196986,1.0,0.6128,1,1.0122,20.45050561816067,26.452179348438527,-6.001673730277858,1.0,0.0122,1,1.3996,27.2526606263665,2.2063480673432068,25.046312559023292,1.0,0.3996,0,0.3984,12.325544032665942,10.19929472569384,2.1262493069721025,0.3984,0.0,1,0.577,11.959383120616993,23.236230678137535,-11.276847557520542,0.577,0.0
western-victoria,Western Victoria,0.4024,5.885993882915268,0.7698198064184468,2,1.6768,27.0538371319009,33.54425671575132,-6.490419583850418,1.0,0.6768,2,1.6774,27.19388034596429,29.458968926661477,-2.2650885806971885,1.0,0.6774,1,1.3054,25.486665348813293,2.067660212471149,23.419005136342143,1.0,0.3054,0,0.1114,10.19059495938953,9.33614781778815,0.8544471416013799,0.1114,0.0,0,0.229,10.07502221393216,25.592966327327904,-15.517944113395744,0.229,0.0
