election_id,district_name,district_id,contest,party_family,contest_status,candidate_count,first_preference_votes,formal_votes,district_reconciled
vic_la_2022,Albert Park,albert-park,general-election,ALP,contested,1,14254,39110,True
vic_la_2022,Albert Park,albert-park,general-election,Coalition,contested,1,11659,39110,True
vic_la_2022,Albert Park,albert-park,general-election,Greens,contested,1,8178,39110,True
vic_la_2022,Albert Park,albert-park,general-election,One Nation,verified_no_contest,0,0,39110,True
vic_la_2022,Albert Park,albert-park,general-election,Other/Independent,contested,5,5019,39110,True
vic_la_2022,Ashwood,ashwood,general-election,ALP,contested,1,18014,44710,True
vic_la_2022,Ashwood,ashwood,general-election,Coalition,contested,1,16618,44710,True
vic_la_2022,Ashwood,ashwood,general-election,Greens,contested,1,6612,44710,True
vic_la_2022,Ashwood,ashwood,general-election,One Nation,verified_no_contest,0,0,44710,True
vic_la_2022,Ashwood,ashwood,general-election,Other/Independent,contested,5,3466,44710,True
vic_la_2022,Bass,bass,general-election,ALP,contested,1,13478,41404,True
vic_la_2022,Bass,bass,general-election,Coalition,contested,2,17988,41404,True
vic_la_2022,Bass,bass,general-election,Greens,contested,1,3369,41404,True
vic_la_2022,Bass,bass,general-election,One Nation,verified_no_contest,0,0,41404,True
vic_la_2022,Bass,bass,general-election,Other/Independent,contested,6,6569,41404,True
vic_la_2022,Bayswater,bayswater,general-election,ALP,contested,1,17609,42599,True
vic_la_2022,Bayswater,bayswater,general-election,Coalition,contested,1,15174,42599,True
vic_la_2022,Bayswater,bayswater,general-election,Greens,contested,1,3151,42599,True
vic_la_2022,Bayswater,bayswater,general-election,One Nation,verified_no_contest,0,0,42599,True
vic_la_2022,Bayswater,bayswater,general-election,Other/Independent,contested,6,6665,42599,True
vic_la_2022,Bellarine,bellarine,general-election,ALP,contested,1,20103,47153,True
vic_la_2022,Bellarine,bellarine,general-election,Coalition,contested,1,15617,47153,True
vic_la_2022,Bellarine,bellarine,general-election,Greens,contested,1,5537,47153,True
vic_la_2022,Bellarine,bellarine,general-election,One Nation,verified_no_contest,0,0,47153,True
vic_la_2022,Bellarine,bellarine,general-election,Other/Independent,contested,6,5896,47153,True
vic_la_2022,Benambra,benambra,general-election,ALP,contested,1,5375,41135,True
vic_la_2022,Benambra,benambra,general-election,Coalition,contested,1,17658,41135,True
vic_la_2022,Benambra,benambra,general-election,Greens,contested,1,1592,41135,True
vic_la_2022,Benambra,benambra,general-election,One Nation,verified_no_contest,0,0,41135,True
vic_la_2022,Benambra,benambra,general-election,Other/Independent,contested,5,16510,41135,True
vic_la_2022,Bendigo East,bendigo-east,general-election,ALP,contested,1,22010,45568,True
vic_la_2022,Bendigo East,bendigo-east,general-election,Coalition,contested,1,12478,45568,True
vic_la_2022,Bendigo East,bendigo-east,general-election,Greens,contested,1,3944,45568,True
vic_la_2022,Bendigo East,bendigo-east,general-election,One Nation,contested,1,2597,45568,True
vic_la_2022,Bendigo East,bendigo-east,general-election,Other/Independent,contested,3,4539,45568,True
vic_la_2022,Bendigo West,bendigo-west,general-election,ALP,contested,1,18704,40248,True
vic_la_2022,Bendigo West,bendigo-west,general-election,Coalition,contested,1,10057,40248,True
vic_la_2022,Bendigo West,bendigo-west,general-election,Greens,contested,1,4634,40248,True
vic_la_2022,Bendigo West,bendigo-west,general-election,One Nation,verified_no_contest,0,0,40248,True
vic_la_2022,Bendigo West,bendigo-west,general-election,Other/Independent,contested,6,6853,40248,True
vic_la_2022,Bentleigh,bentleigh,general-election,ALP,contested,1,20656,45120,True
