election_id,district_id,district_name,source_url,source_sha256,retrieved_sha256,outcome_source_url,outcome_source_sha256,elected_candidate,elected_party_raw,elected_party_family,finalist_1_candidate,finalist_1_party_raw,finalist_1_party_family,finalist_1_votes,finalist_1_percent,finalist_2_candidate,finalist_2_party_raw,finalist_2_party_family,finalist_2_votes,finalist_2_percent,winner_party_family,final_pair_family_label,final_pair_available,final_pair_selection_rule,outcome_table_kind,alp_won
vic_la_2014,albert-park,Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/albertparkdistrict.html,c75a9f86e39c11fba8d491128b59b0bd3b858669976c0d581192fa168d52e130,c75a9f86e39c11fba8d491128b59b0bd3b858669976c0d581192fa168d52e130,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/albertparkdistrict.html,c75a9f86e39c11fba8d491128b59b0bd3b858669976c0d581192fa168d52e130,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,ALP,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,ALP,19370,52.96,"EELES, Shannon",LIBERAL,Coalition,17206,47.04,ALP,ALP-Coalition,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2014,altona,Altona,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/altonadistrict.html,3d967abab5628420d3909256c7a7148db9879b8190c731a7bab4ab9b11843ded,3d967abab5628420d3909256c7a7148db9879b8190c731a7bab4ab9b11843ded,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/altonadistrict.html,3d967abab5628420d3909256c7a7148db9879b8190c731a7bab4ab9b11843ded,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,ALP,,,,,,,,,,,ALP,,False,not-available-on-official-early-majority-page,final-pair-unavailable-early-majority,1
vic_la_2014,bass,Bass,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bassdistrict.html,40d251eff377df0f7021fccad96928fe7d7b2eaf4500fdd805a3123d9c2f1aac,40d251eff377df0f7021fccad96928fe7d7b2eaf4500fdd805a3123d9c2f1aac,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bassdistrict.html,40d251eff377df0f7021fccad96928fe7d7b2eaf4500fdd805a3123d9c2f1aac,"PAYNTER, Brian",LIBERAL,Coalition,"PAYNTER, Brian",LIBERAL,Coalition,21664,54.55,"NATHAN, Sanjay",AUSTRALIAN LABOR PARTY,ALP,18049,45.45,Coalition,Coalition-ALP,True,governed-vec-final-total-parser,results-after-distribution,0
vic_la_2014,bayswater,Bayswater,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bayswaterdistrict.html,0e01050b005a5229350fe3a93cc46a41351da9922fd51bc4741b803a20bb43fb,0e01050b005a5229350fe3a93cc46a41351da9922fd51bc4741b803a20bb43fb,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/distributionbayswaterdistrict.html,47578025b8d3de6116a5e3361f49b1f8e0bda968f7c99d4eb96371c7e1245b88,"VICTORIA, Heidi",LIBERAL,Coalition,"VICTORIA, Heidi",LIBERAL,Coalition,19536,59.66,"DIB, Tony",AUSTRALIAN LABOR PARTY,ALP,13212,40.34,Coalition,Coalition-ALP,True,governed-vec-final-total-parser,distribution-page-final-total,0
vic_la_2014,bellarine,Bellarine,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bellarinedistrict.html,6fa8ebabcb3eaa3dfce2746ab01bb60977900cba63a9b8eb0e23bb9ad11dd496,6fa8ebabcb3eaa3dfce2746ab01bb60977900cba63a9b8eb0e23bb9ad11dd496,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bellarinedistrict.html,6fa8ebabcb3eaa3dfce2746ab01bb60977900cba63a9b8eb0e23bb9ad11dd496,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,ALP,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,ALP,21174,54.84,"NELSON, Ron",LIBERAL,Coalition,17437,45.16,ALP,ALP-Coalition,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2014,benambra,Benambra,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/benambradistrict.html,d5112ecbc9593376f63d1031fec5f71d0ecefd83b2bd8451fe78a33a13678467,d5112ecbc9593376f63d1031fec5f71d0ecefd83b2bd8451fe78a33a13678467,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/benambradistrict.html,d5112ecbc9593376f63d1031fec5f71d0ecefd83b2bd8451fe78a33a13678467,"TILLEY, Bill",LIBERAL,Coalition,,,,,,,,,,,Coalition,,False,not-available-on-official-early-majority-page,final-pair-unavailable-early-majority,0
vic_la_2014,bendigo-east,Bendigo East,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bendigoeastdistrict.html,21799af4253c12ac76f637e7562b12e87d26a4059d80b4bfaf0c8d7f0ba0a166,21799af4253c12ac76f637e7562b12e87d26a4059d80b4bfaf0c8d7f0ba0a166,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bendigoeastdistrict.html,21799af4253c12ac76f637e7562b12e87d26a4059d80b4bfaf0c8d7f0ba0a166,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,ALP,"BICKLEY, Greg",LIBERAL,Coalition,18118,44.95,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,ALP,22187,55.05,ALP,Coalition-ALP,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2014,bendigo-west,Bendigo West,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bendigowestdistrict.html,36d842eafd620f06db42f7f001910cb477569251b04f41910c2216b829b8b6be,36d842eafd620f06db42f7f001910cb477569251b04f41910c2216b829b8b6be,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/distributionbendigowestdistrict.html,6ec624c4d7cc5e65a54abe71caf063c8bc85e69c03d72ec1f042a060a1e6c76f,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,ALP,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,ALP,19204,58.39,"LANGDON, Michael",LIBERAL,Coalition,13683,41.61,ALP,ALP-Coalition,True,governed-vec-final-total-parser,distribution-page-final-total,1
vic_la_2014,bentleigh,Bentleigh,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bentleighdistrict.html,5d9ad36111c47f4c2c625ff47a8876a59fb9b222b7001a1fea64ab65bd833bf0,5d9ad36111c47f4c2c625ff47a8876a59fb9b222b7001a1fea64ab65bd833bf0,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bentleighdistrict.html,5d9ad36111c47f4c2c625ff47a8876a59fb9b222b7001a1fea64ab65bd833bf0,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,ALP,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,ALP,18449,50.78,"MILLER, Elizabeth",LIBERAL,Coalition,17881,49.22,ALP,ALP-Coalition,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2014,box-hill,Box Hill,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/boxhilldistrict.html,441be87dbd6b6f202f7af5082dfa58dd443b35338d535ebaa05ba8e1fa6609b9,441be87dbd6b6f202f7af5082dfa58dd443b35338d535ebaa05ba8e1fa6609b9,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/boxhilldistrict.html,441be87dbd6b6f202f7af5082dfa58dd443b35338d535ebaa05ba8e1fa6609b9,"CLARK, Robert",LIBERAL,Coalition,,,,,,,,,,,Coalition,,False,not-available-on-official-early-majority-page,final-pair-unavailable-early-majority,0
vic_la_2014,brighton,Brighton,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/brightondistrict.html,f37af7367036bf3f08c15255b019b0dc38485c0fe64bf0573b58e3037ed7e20c,f37af7367036bf3f08c15255b019b0dc38485c0fe64bf0573b58e3037ed7e20c,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/brightondistrict.html,f37af7367036bf3f08c15255b019b0dc38485c0fe64bf0573b58e3037ed7e20c,"ASHER, Louise",LIBERAL,Coalition,,,,,,,,,,,Coalition,,False,not-available-on-official-early-majority-page,final-pair-unavailable-early-majority,0
vic_la_2014,broadmeadows,Broadmeadows,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/broadmeadowsdistrict.html,2ee53483e579ded9b6bacc3ba8e81d630c9874b9c1f405748bb076659e91af79,2ee53483e579ded9b6bacc3ba8e81d630c9874b9c1f405748bb076659e91af79,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/broadmeadowsdistrict.html,2ee53483e579ded9b6bacc3ba8e81d630c9874b9c1f405748bb076659e91af79,"McGUIRE, Frank",AUSTRALIAN LABOR PARTY,ALP,,,,,,,,,,,ALP,,False,not-available-on-official-early-majority-page,final-pair-unavailable-early-majority,1
vic_la_2014,brunswick,Brunswick,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/brunswickdistrict.html,e7b56170d391c5d60fdb870cbd445e70eeb88fedaec4446d9610e5995a210b3a,e7b56170d391c5d60fdb870cbd445e70eeb88fedaec4446d9610e5995a210b3a,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/brunswickdistrict.html,e7b56170d391c5d60fdb870cbd445e70eeb88fedaec4446d9610e5995a210b3a,"GARRETT, Jane",AUSTRALIAN LABOR PARTY,ALP,"READ, Tim",AUSTRALIAN GREENS,Greens,19283,47.78,"GARRETT, Jane",AUSTRALIAN LABOR PARTY,ALP,21075,52.22,ALP,Greens-ALP,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2014,bulleen,Bulleen,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bulleendistrict.html,c7f6eceeeac0c110907d4e8cf4dde1d1e95b4e9ee0ede8b96167df09f3e40734,c7f6eceeeac0c110907d4e8cf4dde1d1e95b4e9ee0ede8b96167df09f3e40734,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bulleendistrict.html,c7f6eceeeac0c110907d4e8cf4dde1d1e95b4e9ee0ede8b96167df09f3e40734,"GUY, Matthew",LIBERAL,Coalition,,,,,,,,,,,Coalition,,False,not-available-on-official-early-majority-page,final-pair-unavailable-early-majority,0
vic_la_2014,bundoora,Bundoora,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bundooradistrict.html,f906b9a0d3922de012e711e43849c526ff4749127b2482db737de3bb6a0025b6,f906b9a0d3922de012e711e43849c526ff4749127b2482db737de3bb6a0025b6,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bundooradistrict.html,f906b9a0d3922de012e711e43849c526ff4749127b2482db737de3bb6a0025b6,"BROOKS, Colin",AUSTRALIAN LABOR PARTY,ALP,,,,,,,,,,,ALP,,False,not-available-on-official-early-majority-page,final-pair-unavailable-early-majority,1
vic_la_2014,buninyong,Buninyong,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/buninyongdistrict.html,70ef254228052d6cc9598a5959fae7f91423671c19848659135f39e2352caba6,70ef254228052d6cc9598a5959fae7f91423671c19848659135f39e2352caba6,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/buninyongdistrict.html,70ef254228052d6cc9598a5959fae7f91423671c19848659135f39e2352caba6,"HOWARD, Geoff",AUSTRALIAN LABOR PARTY,ALP,"TAYLOR, Ben",LIBERAL,Coalition,16006,43.61,"HOWARD, Geoff",AUSTRALIAN LABOR PARTY,ALP,20697,56.39,ALP,Coalition-ALP,True,governed-vec-final-total-parser,results-after-distribution,1
vic_la_2014,burwood,Burwood,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/burwooddistrict.html,0ebdc8d1f4163eaeb1447750d43b6843c3f80e11db620ddff7ac96859ce99144,0ebdc8d1f4163eaeb1447750d43b6843c3f80e11db620ddff7ac96859ce99144,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/burwooddistrict.html,0ebdc8d1f4163eaeb1447750d43b6843c3f80e11db620ddff7ac96859ce99144,"WATT, Graham",LIBERAL,Coalition,,,,,,,,,,,Coalition,,False,not-available-on-official-early-majority-page,final-pair-unavailable-early-majority,0
