election_id,region_id,region_name,candidate_name,party_name,first_preference_votes,formal_votes,quota,source_url,source_sha256
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"SCANLON, David J.",VOLUNTARY EUTHANASIA PARTY (VICTORIA),4481,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"BONWICK, Monte",VOLUNTARY EUTHANASIA PARTY (VICTORIA),98,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"WOOLDRIDGE, Mary",LIBERAL,192112,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"ATKINSON, Bruce",LIBERAL,498,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"DALLA-RIVA, Richard",LIBERAL,641,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"ROY, Grace",LIBERAL,294,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"HEGDE, Shilpa",LIBERAL,240,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"WILDE, Milton",PALMER UNITED PARTY,5500,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"BRENNER, Brooke",PALMER UNITED PARTY,65,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"SALT, Abe",LIBERAL DEMOCRATS,5564,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
vic_lc_2014,eastern-metropolitan-region,Eastern Metropolitan Region,"MOORE, Joel",LIBERAL DEMOCRATS,102,423854,70643,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/easternmetropolitanregion.html,94ef7c668d6806874b27aa9ad2ea8936d374860dc603f17b00ed59b9b48e3f73
