Area No,geography_name,unnamed_2,unnamed_3,unnamed_4,enrolled_electors,Variance to Average (%),unnamed_7,Property Count,geography_type
1,Eastern Victoria,,,,575318,-1.2585578674026145,,362979,region
2,North-Eastern Metropolitan,,,,561211,-3.6797328074610594,,344882,region
3,Northern Metropolitan,,,,599506,2.8928123353431148,,422707,region
4,Northern Victoria,,,,564514,-3.112841134744467,,355982,region
5,South-Eastern Metropolitan,,,,590157,1.2882497412687917,,341593,region
6,Southern Metropolitan,,,,559995,-3.8884340711678305,,410748,region
7,Western Metropolitan,,,,604142,3.6884859032250823,,372292,region
8,Western Victoria,,,,606370,4.070876047582515,,389544,region
