election_id,district_id,district_name,source_url,source_sha256,elected_candidate,elected_party_raw,elected_party_family,finalist_1_candidate,finalist_1_party_raw,finalist_1_party_family,finalist_1_votes,finalist_1_percent,finalist_2_candidate,finalist_2_party_raw,finalist_2_party_family,finalist_2_votes,finalist_2_percent,winner_party_family,final_pair_family_label,outcome_table_kind,outcome_source_url,outcome_source_sha256,alp_won
vic_la_2018,south-barwon,South Barwon,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/southbarwondistrict.html,3fff623b3548a94984c101edeb7ebcd2d9b078c332d9b147a5a8863a2d528cd1,"CHEESEMAN, Darren",AUSTRALIAN LABOR PARTY,ALP,"KATOS, Andrew",LIBERAL,Coalition,21945,45.4,"CHEESEMAN, Darren",AUSTRALIAN LABOR PARTY,ALP,26389,54.6,ALP,Coalition-ALP,results-after-distribution,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/southbarwondistrict.html,3fff623b3548a94984c101edeb7ebcd2d9b078c332d9b147a5a8863a2d528cd1,1
vic_la_2018,south-west-coast,South-West Coast,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/south-westcoastdistrict.html,ca57418f7b9277b149b6b20f935f22f37cb2146106d2d7bce34550da75b345e3,"BRITNELL, Roma",LIBERAL,Coalition,"GASTON, Kylie",AUSTRALIAN LABOR PARTY,ALP,19582,47.69,"BRITNELL, Roma",LIBERAL,Coalition,21483,52.31,Coalition,ALP-Coalition,results-after-distribution,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/south-westcoastdistrict.html,ca57418f7b9277b149b6b20f935f22f37cb2146106d2d7bce34550da75b345e3,0
vic_la_2018,st-albans,St Albans,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/stalbansdistrict.html,45d6e3eaf4511c22f7d060d761c4bbeb21739b0bd6a84557b28d7a16d13aec38,"SULEYMAN, Natalie",AUSTRALIAN LABOR PARTY,ALP,"SULEYMAN, Natalie",AUSTRALIAN LABOR PARTY,ALP,26326,71.54,"LUU, Trung",LIBERAL,Coalition,10475,28.46,ALP,ALP-Coalition,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/stalbansdistrict.html,45d6e3eaf4511c22f7d060d761c4bbeb21739b0bd6a84557b28d7a16d13aec38,1
vic_la_2018,sunbury,Sunbury,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/sunburydistrict.html,c68393d9f815948454c0f32a9296d4bb20a2ba97bbe2438c30e3a560bb0e0381,"BULL, Josh",AUSTRALIAN LABOR PARTY,ALP,"MARR, Cassandra",LIBERAL,Coalition,13868,35.67,"BULL, Josh",AUSTRALIAN LABOR PARTY,ALP,25011,64.33,ALP,Coalition-ALP,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/sunburydistrict.html,c68393d9f815948454c0f32a9296d4bb20a2ba97bbe2438c30e3a560bb0e0381,1
vic_la_2018,sydenham,Sydenham,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/sydenhamdistrict.html,91dba73d01df515f595d71914e105c797a9f967b21773fb8a275854709369841,"HUTCHINS, Natalie",AUSTRALIAN LABOR PARTY,ALP,"KERR, Maria",LIBERAL,Coalition,13743,32.14,"HUTCHINS, Natalie",AUSTRALIAN LABOR PARTY,ALP,29018,67.86,ALP,Coalition-ALP,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/sydenhamdistrict.html,91dba73d01df515f595d71914e105c797a9f967b21773fb8a275854709369841,1
vic_la_2018,tarneit,Tarneit,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/tarneitdistrict.html,2db2eba7847c66b7e3ac30a3c2945a23f4bf66005908a3f016ed6e2d16403192,"CONNOLLY, Sarah",AUSTRALIAN LABOR PARTY,ALP,"GOODFELLOW, Glenn",LIBERAL,Coalition,14350,31.98,"CONNOLLY, Sarah",AUSTRALIAN LABOR PARTY,ALP,30525,68.02,ALP,Coalition-ALP,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/tarneitdistrict.html,2db2eba7847c66b7e3ac30a3c2945a23f4bf66005908a3f016ed6e2d16403192,1
vic_la_2018,thomastown,Thomastown,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/thomastowndistrict.html,4c04bc1c63efe9e545367c2290043cfe43ee27604b0cf5bccd2caea687a93740,"HALFPENNY, Bronwyn",AUSTRALIAN LABOR PARTY,ALP,"HALFPENNY, Bronwyn",AUSTRALIAN LABOR PARTY,ALP,26639,77.19,"SINGH, Gurdawar",LIBERAL,Coalition,7873,22.81,ALP,ALP-Coalition,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/thomastowndistrict.html,4c04bc1c63efe9e545367c2290043cfe43ee27604b0cf5bccd2caea687a93740,1
vic_la_2018,warrandyte,Warrandyte,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/warrandytedistrict.html,4dd08294798afa7d0cb2843f08526806c30aaf53034fa28673d3615c00171980,"SMITH, Ryan",LIBERAL,Coalition,"SMITH, Ryan",LIBERAL,Coalition,19232,58.18005808325266,"MCGRATH, Elizabeth",AUSTRALIAN LABOR PARTY,ALP,13824,41.81994191674734,Coalition,Coalition-ALP,distribution-page-final-total,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionwarrandytedistrict.html,17b2d60baaa8c5aee2f9c406da3c73eeff80ffe52a8018b516596fdda6913cf5,0
vic_la_2018,wendouree,Wendouree,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/wendoureedistrict.html,cfaf865cd63905f2f9d0e86454aced6fc47e8b964dab5591d3c5612cc872e2d3,"ADDISON, Juliana",AUSTRALIAN LABOR PARTY,ALP,"ADDISON, Juliana",AUSTRALIAN LABOR PARTY,ALP,19292,58.3350972150827,"JOHNSON, Amy",LIBERAL,Coalition,13779,41.6649027849173,ALP,ALP-Coalition,distribution-page-final-total,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionwendoureedistrict.html,679909e8478e07814b6b769371eef7c4124b361e3fa9188a7866bc03988e044e,1
vic_la_2018,werribee,Werribee,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/werribeedistrict.html,cd276b80ab2ab16e3c4ded82f2ccfb0fb41db876e22252034a695f2d72f43bbc,"PALLAS, Tim",AUSTRALIAN LABOR PARTY,ALP,"PALLAS, Tim",AUSTRALIAN LABOR PARTY,ALP,20133,66.78276445417455,"GARRA, Joe",,Other/Independent,10014,33.21723554582546,ALP,ALP-Other/Independent,distribution-page-final-total,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionwerribeedistrict.html,b80ae3cb383ebdfb0373d5896717a6e210a8923449013fd631a27663f11ae084,1
vic_la_2018,williamstown,Williamstown,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/williamstowndistrict.html,a53717ef8de0a55370a160df894d858c2a5c90057ec4347ac4a4f54dcc1db745,"HORNE, Melissa",AUSTRALIAN LABOR PARTY,ALP,"HORNE, Melissa",AUSTRALIAN LABOR PARTY,ALP,31273,72.07,"JOSHI, Pallavee",LIBERAL,Coalition,12118,27.93,ALP,ALP-Coalition,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/williamstowndistrict.html,a53717ef8de0a55370a160df894d858c2a5c90057ec4347ac4a4f54dcc1db745,1
vic_la_2018,yan-yean,Yan Yean,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/yanyeandistrict.html,7f7c110a64a39ff906404a2d05dceae29e83b0162fdd96f11f48f077ac65407b,"GREEN, Danielle",AUSTRALIAN LABOR PARTY,ALP,"GREEN, Danielle",AUSTRALIAN LABOR PARTY,ALP,32999,67.03,"KLEIN, Meralyn",LIBERAL,Coalition,16234,32.97,ALP,ALP-Coalition,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/yanyeandistrict.html,7f7c110a64a39ff906404a2d05dceae29e83b0162fdd96f11f48f077ac65407b,1
vic_la_2018,yuroke,Yuroke,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/yurokedistrict.html,b1334955be9ca7318466037a969864ad075b834b21b6a9f1abb4c45081c20521,"SPENCE, Ros",AUSTRALIAN LABOR PARTY,ALP,"SPENCE, Ros",AUSTRALIAN LABOR PARTY,ALP,33730,70.26,"OVEREND, Jim",LIBERAL,Coalition,14278,29.74,ALP,ALP-Coalition,two-candidate-preferred-final-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/yurokedistrict.html,b1334955be9ca7318466037a969864ad075b834b21b6a9f1abb4c45081c20521,1
