election_id,district_name,district_id,contest,source_url,source_sha256,candidate_order,candidate_name,party_raw,independent_status,party_family,first_preference_votes,formal_votes,district_reconciled
vic_la_2018,Albert Park,albert-park,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,b40499a2074537eef9b043801bf5925d1511a660adc0ee7f84428c5221fdc891,1,"RAMSAY, Tamasin",ANIMAL JUSTICE PARTY,False,Other/Independent,1555,39858,True
vic_la_2018,Albert Park,albert-park,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,b40499a2074537eef9b043801bf5925d1511a660adc0ee7f84428c5221fdc891,2,"BOND, Andrew",LIBERAL,False,Coalition,12457,39858,True
vic_la_2018,Albert Park,albert-park,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,b40499a2074537eef9b043801bf5925d1511a660adc0ee7f84428c5221fdc891,3,"BARTLE, Jarryd",FIONA PATTEN'S REASON PARTY,False,Other/Independent,1079,39858,True
vic_la_2018,Albert Park,albert-park,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,b40499a2074537eef9b043801bf5925d1511a660adc0ee7f84428c5221fdc891,4,"ARMSTRONG, Steven",SUSTAINABLE AUSTRALIA,False,Other/Independent,597,39858,True
vic_la_2018,Albert Park,albert-park,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,b40499a2074537eef9b043801bf5925d1511a660adc0ee7f84428c5221fdc891,5,"TOSCANO, Joseph",,True,Other/Independent,282,39858,True
vic_la_2018,Albert Park,albert-park,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,b40499a2074537eef9b043801bf5925d1511a660adc0ee7f84428c5221fdc891,6,"SIMIC, Ogy",AUSTRALIAN GREENS,False,Greens,6601,39858,True
vic_la_2018,Albert Park,albert-park,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,b40499a2074537eef9b043801bf5925d1511a660adc0ee7f84428c5221fdc891,7,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,False,ALP,17287,39858,True
vic_la_2018,Altona,altona,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/altonadistrict.html,71b87225616d972e69befc5f349429b33ae379795860340ea76028b9fd56028b,1,"MARTINU, Christian",LIBERAL,False,Coalition,11194,46906,True
vic_la_2018,Altona,altona,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/altonadistrict.html,71b87225616d972e69befc5f349429b33ae379795860340ea76028b9fd56028b,2,"HOOPER, Tony",,True,Other/Independent,5861,46906,True
vic_la_2018,Altona,altona,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/altonadistrict.html,71b87225616d972e69befc5f349429b33ae379795860340ea76028b9fd56028b,3,"AYLWARD, Maria",,True,Other/Independent,1522,46906,True
vic_la_2018,Altona,altona,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/altonadistrict.html,71b87225616d972e69befc5f349429b33ae379795860340ea76028b9fd56028b,4,"BYRNE, Emma-Jane",AUSTRALIAN GREENS,False,Greens,4217,46906,True
vic_la_2018,Altona,altona,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/altonadistrict.html,71b87225616d972e69befc5f349429b33ae379795860340ea76028b9fd56028b,5,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,False,ALP,24112,46906,True
vic_la_2018,Bass,bass,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,1,"PAYNTER, Brian",LIBERAL,False,Coalition,20315,49589,True
vic_la_2018,Bass,bass,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,2,"LE SERVE, Clare",,True,Other/Independent,2212,49589,True
vic_la_2018,Bass,bass,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,3,"CRUGNALE, Jordan",AUSTRALIAN LABOR PARTY,False,ALP,19954,49589,True
vic_la_2018,Bass,bass,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,4,"McPHEE, Ross",LABOUR DLP,False,Other/Independent,1288,49589,True
vic_la_2018,Bass,bass,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,5,"BAUER, Ron",,True,Other/Independent,603,49589,True
vic_la_2018,Bass,bass,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,6,"LEMPRIERE, Kate",,True,Other/Independent,385,49589,True
vic_la_2018,Bass,bass,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,7,"RIPA, Frank","SHOOTERS, FISHERS & FARMERS VIC",False,Other/Independent,2011,49589,True
vic_la_2018,Bass,bass,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,7b62e7433054e7e37216437d72ed0b537321caa5997602bd124c4d31c2e4f5b0,8,"ARNAULT, David",AUSTRALIAN GREENS,False,Greens,2821,49589,True
vic_la_2018,Bayswater,bayswater,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bayswaterdistrict.html,d17010dd7e5938701ab1000d5a9d62bc22896b3077a16db8005858ff47b025a4,1,"VICTORIA, Heidi",LIBERAL,False,Coalition,17650,38126,True
vic_la_2018,Bayswater,bayswater,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bayswaterdistrict.html,d17010dd7e5938701ab1000d5a9d62bc22896b3077a16db8005858ff47b025a4,2,"TAYLOR, Jackson",AUSTRALIAN LABOR PARTY,False,ALP,15548,38126,True
vic_la_2018,Bayswater,bayswater,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bayswaterdistrict.html,d17010dd7e5938701ab1000d5a9d62bc22896b3077a16db8005858ff47b025a4,3,"COOKSON, Asher",AUSTRALIAN GREENS,False,Greens,3228,38126,True
vic_la_2018,Bayswater,bayswater,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bayswaterdistrict.html,d17010dd7e5938701ab1000d5a9d62bc22896b3077a16db8005858ff47b025a4,4,"SCHRAM, Nathan",ANIMAL JUSTICE PARTY,False,Other/Independent,1700,38126,True
vic_la_2018,Bellarine,bellarine,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bellarinedistrict.html,bba490fd8390b7ec722c83c98bd232c92c9875ae19a05a0775e2ad390822ddf7,1,"ADAMS, Naomi",ANIMAL JUSTICE PARTY,False,Other/Independent,1968,44013,True
vic_la_2018,Bellarine,bellarine,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bellarinedistrict.html,bba490fd8390b7ec722c83c98bd232c92c9875ae19a05a0775e2ad390822ddf7,2,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,False,ALP,21948,44013,True
vic_la_2018,Bellarine,bellarine,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bellarinedistrict.html,bba490fd8390b7ec722c83c98bd232c92c9875ae19a05a0775e2ad390822ddf7,3,"SEMMENS, Rachel",AUSTRALIAN GREENS,False,Greens,3957,44013,True
vic_la_2018,Bellarine,bellarine,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bellarinedistrict.html,bba490fd8390b7ec722c83c98bd232c92c9875ae19a05a0775e2ad390822ddf7,4,"McKITERICK, Brian",LIBERAL,False,Coalition,15619,44013,True
vic_la_2018,Bellarine,bellarine,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bellarinedistrict.html,bba490fd8390b7ec722c83c98bd232c92c9875ae19a05a0775e2ad390822ddf7,5,"KRIZ, Jackie",VICTORIAN SOCIALISTS,False,Other/Independent,521,44013,True
vic_la_2018,Benambra,benambra,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/benambradistrict.html,e73cdc260c191ce24b6b11d76d6b6235d1ec63556e70be0a537a3ce8a15ab80e,1,"HAWKINS, Jacqui",,True,Other/Independent,6687,41435,True
vic_la_2018,Benambra,benambra,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/benambradistrict.html,e73cdc260c191ce24b6b11d76d6b6235d1ec63556e70be0a537a3ce8a15ab80e,2,"TAIT, Mark",AUSTRALIAN LABOR PARTY,False,ALP,7467,41435,True
vic_la_2018,Benambra,benambra,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/benambradistrict.html,e73cdc260c191ce24b6b11d76d6b6235d1ec63556e70be0a537a3ce8a15ab80e,3,"TILLEY, Bill",LIBERAL,False,Coalition,16515,41435,True
vic_la_2018,Benambra,benambra,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/benambradistrict.html,e73cdc260c191ce24b6b11d76d6b6235d1ec63556e70be0a537a3ce8a15ab80e,4,"O'CONNOR, Jenny",,True,Other/Independent,5427,41435,True
vic_la_2018,Benambra,benambra,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/benambradistrict.html,e73cdc260c191ce24b6b11d76d6b6235d1ec63556e70be0a537a3ce8a15ab80e,5,"KNIGHT, Josh","SHOOTERS, FISHERS & FARMERS VIC",False,Other/Independent,3774,41435,True
vic_la_2018,Benambra,benambra,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/benambradistrict.html,e73cdc260c191ce24b6b11d76d6b6235d1ec63556e70be0a537a3ce8a15ab80e,6,"BARDSLEY, John",AUSTRALIAN GREENS,False,Greens,1565,41435,True
vic_la_2018,Bendigo East,bendigo-east,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigoeastdistrict.html,f5bada50cc540cc6c4eb2b36f3495a6c6b9736eb232d0df7fea17c2984b3f38a,1,"BELARDINELLI, Michael",,True,Other/Independent,999,43088,True
vic_la_2018,Bendigo East,bendigo-east,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigoeastdistrict.html,f5bada50cc540cc6c4eb2b36f3495a6c6b9736eb232d0df7fea17c2984b3f38a,2,"ELLIS, Ian",LIBERAL,False,Coalition,8987,43088,True
vic_la_2018,Bendigo East,bendigo-east,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigoeastdistrict.html,f5bada50cc540cc6c4eb2b36f3495a6c6b9736eb232d0df7fea17c2984b3f38a,3,"LEACH, Helen",LABOUR DLP,False,Other/Independent,1080,43088,True
vic_la_2018,Bendigo East,bendigo-east,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigoeastdistrict.html,f5bada50cc540cc6c4eb2b36f3495a6c6b9736eb232d0df7fea17c2984b3f38a,4,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,False,ALP,21693,43088,True
vic_la_2018,Bendigo East,bendigo-east,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigoeastdistrict.html,f5bada50cc540cc6c4eb2b36f3495a6c6b9736eb232d0df7fea17c2984b3f38a,5,"THOMSON, Nakita",AUSTRALIAN GREENS,False,Greens,3465,43088,True
