district_id,district_name,feature_id,value,cutoff,source_role
17,BURWOOD,renter_share,0.252400307258,2014-11-28,prediction-safe-prior-geographic-translation
17,BURWOOD,owned_outright_share,0.380656924952,2014-11-28,prediction-safe-prior-geographic-translation
17,BURWOOD,separate_house_share,0.760891938837,2014-11-28,prediction-safe-prior-geographic-translation
17,BURWOOD,apartment_share,0.084651384807,2014-11-28,prediction-safe-prior-geographic-translation
17,BURWOOD,age_18_34_share,0.220960174150,2014-11-28,prediction-safe-prior-geographic-translation
17,BURWOOD,age_65_plus_share,0.148537519586,2014-11-28,prediction-safe-prior-geographic-translation
18,CARRUM,mortgage_share,0.467319404885,2014-11-28,prediction-safe-prior-geographic-translation
18,CARRUM,renter_share,0.239224433977,2014-11-28,prediction-safe-prior-geographic-translation
18,CARRUM,owned_outright_share,0.254915742125,2014-11-28,prediction-safe-prior-geographic-translation
18,CARRUM,separate_house_share,0.774024559172,2014-11-28,prediction-safe-prior-geographic-translation
18,CARRUM,apartment_share,0.082292724961,2014-11-28,prediction-safe-prior-geographic-translation
18,CARRUM,age_18_34_share,0.208576115466,2014-11-28,prediction-safe-prior-geographic-translation
18,CARRUM,age_65_plus_share,0.128295763960,2014-11-28,prediction-safe-prior-geographic-translation
19,CAULFIELD,mortgage_share,0.277203905768,2014-11-28,prediction-safe-prior-geographic-translation
19,CAULFIELD,renter_share,0.359396590072,2014-11-28,prediction-safe-prior-geographic-translation
19,CAULFIELD,owned_outright_share,0.327729097294,2014-11-28,prediction-safe-prior-geographic-translation
19,CAULFIELD,separate_house_share,0.457740867985,2014-11-28,prediction-safe-prior-geographic-translation
19,CAULFIELD,apartment_share,0.354301645541,2014-11-28,prediction-safe-prior-geographic-translation
19,CAULFIELD,age_18_34_share,0.265828587156,2014-11-28,prediction-safe-prior-geographic-translation
19,CAULFIELD,age_65_plus_share,0.136943107100,2014-11-28,prediction-safe-prior-geographic-translation
2,ALTONA,mortgage_share,0.463583058116,2014-11-28,prediction-safe-prior-geographic-translation
2,ALTONA,renter_share,0.252296785875,2014-11-28,prediction-safe-prior-geographic-translation
2,ALTONA,owned_outright_share,0.256715171005,2014-11-28,prediction-safe-prior-geographic-translation
2,ALTONA,separate_house_share,0.886877869185,2014-11-28,prediction-safe-prior-geographic-translation
2,ALTONA,apartment_share,0.057863943283,2014-11-28,prediction-safe-prior-geographic-translation
2,ALTONA,age_18_34_share,0.243034486627,2014-11-28,prediction-safe-prior-geographic-translation
2,ALTONA,age_65_plus_share,0.083061462127,2014-11-28,prediction-safe-prior-geographic-translation
20,CLARINDA,mortgage_share,0.281332317962,2014-11-28,prediction-safe-prior-geographic-translation
20,CLARINDA,renter_share,0.299798883336,2014-11-28,prediction-safe-prior-geographic-translation
20,CLARINDA,owned_outright_share,0.371485639737,2014-11-28,prediction-safe-prior-geographic-translation
20,CLARINDA,separate_house_share,0.724393775216,2014-11-28,prediction-safe-prior-geographic-translation
20,CLARINDA,apartment_share,0.139478089504,2014-11-28,prediction-safe-prior-geographic-translation
20,CLARINDA,age_18_34_share,0.268927338362,2014-11-28,prediction-safe-prior-geographic-translation
20,CLARINDA,age_65_plus_share,0.159115244116,2014-11-28,prediction-safe-prior-geographic-translation
21,CRANBOURNE,mortgage_share,0.590003242333,2014-11-28,prediction-safe-prior-geographic-translation
21,CRANBOURNE,renter_share,0.204739349859,2014-11-28,prediction-safe-prior-geographic-translation
21,CRANBOURNE,owned_outright_share,0.171752147891,2014-11-28,prediction-safe-prior-geographic-translation
21,CRANBOURNE,separate_house_share,0.929822960936,2014-11-28,prediction-safe-prior-geographic-translation
21,CRANBOURNE,apartment_share,0.049113580264,2014-11-28,prediction-safe-prior-geographic-translation
21,CRANBOURNE,age_18_34_share,0.249640674660,2014-11-28,prediction-safe-prior-geographic-translation
21,CRANBOURNE,age_65_plus_share,0.081686243860,2014-11-28,prediction-safe-prior-geographic-translation
22,CROYDON,mortgage_share,0.419922377558,2014-11-28,prediction-safe-prior-geographic-translation
22,CROYDON,renter_share,0.198623899285,2014-11-28,prediction-safe-prior-geographic-translation
