Area No,geography_name,unnamed_2,unnamed_3,unnamed_4,enrolled_electors,Variance to Average (%),unnamed_7,Property Count,geography_type
1,Eastern Victoria,,,,577992,-1.2696758764999685,,363977,region
2,North-Eastern Metropolitan,,,,562868,-3.853098176538406,,345331,region
3,Northern Metropolitan,,,,603457,3.080155442627147,,424336,region
4,Northern Victoria,,,,566498,-3.233035828671473,,356883,region
5,South-Eastern Metropolitan,,,,593318,1.3482512704445435,,342361,region
6,Southern Metropolitan,,,,562292,-3.951488235042925,,411430,region
7,Western Metropolitan,,,,608309,3.9089550326685822,,374027,region
8,Western Victoria,,,,608669,3.970448819233898,,390667,region
