election_id,district_name,district_id,source_page,source_url,source_sha256,candidate_order,candidate_name,party_raw,independent_status,party_family,first_preference_votes,formal_votes,district_reconciled
vic_la_2010,Bass,bass,164,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,1,"LONERGAN, Gerry",AUSTRALIAN LABOR PARTY,False,ALP,12962,44451,True
vic_la_2010,Bass,bass,164,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,2,"SMITH, Ken",LIBERAL,False,Coalition,25098,44451,True
vic_la_2010,Bass,bass,164,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,3,"RANKINE, Neil",AUSTRALIAN GREENS,False,Greens,4845,44451,True
vic_la_2010,Bass,bass,164,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,4,"ROGERS, Bruce",COUNTRY ALLIANCE,False,Other/Independent,1546,44451,True
vic_la_2010,Bayswater,bayswater,166,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,1,"STRATIS, Sotiria",SEX PARTY,False,Other/Independent,1256,33293,True
vic_la_2010,Bayswater,bayswater,166,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,2,"PRENDERGAST, Ronald",D.L.P. - DEMOCRATIC LABOR PARTY,False,Other/Independent,456,33293,True
vic_la_2010,Bayswater,bayswater,166,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,3,"TENNANT, James Ludolf",AUSTRALIAN GREENS,False,Greens,2873,33293,True
vic_la_2010,Bayswater,bayswater,166,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,4,"COOMBES, Gary",FAMILY FIRST,False,Other/Independent,973,33293,True
vic_la_2010,Bayswater,bayswater,166,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,5,"VICTORIA, Heidi",LIBERAL,False,Coalition,17597,33293,True
vic_la_2010,Bayswater,bayswater,166,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,6,"LOCKWOOD, Peter",AUSTRALIAN LABOR PARTY,False,ALP,10138,33293,True
vic_la_2010,Bellarine,bellarine,168,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,1,"CLAPINSKI, Klaus",D.L.P. - DEMOCRATIC LABOR PARTY,False,Other/Independent,831,39811,True
vic_la_2010,Bellarine,bellarine,168,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,2,"DUFF, Lara",FAMILY FIRST,False,Other/Independent,944,39811,True
vic_la_2010,Bellarine,bellarine,168,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,3,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,False,ALP,16324,39811,True
vic_la_2010,Bellarine,bellarine,168,https://www.vec.vic.gov.au/-/media/08680c0035b34af4b6ea2074edc763a4.pdf,be2dbabd5735ff7128fa9ac5ab3e05e99d41c3d7a4502d33959b7c3464da7567,4,"JUHASZ, Stephen",,True,Other/Independent,510,39811,True
