election_id,district_id,district_name,source_url,source_sha256,outcome_source_url,outcome_source_sha256,elected_candidate,elected_party_raw,elected_party_family,finalist_1_candidate,finalist_1_party_raw,finalist_1_party_family,finalist_1_votes,finalist_1_percent,finalist_2_candidate,finalist_2_party_raw,finalist_2_party_family,finalist_2_votes,finalist_2_percent,winner_party_family,final_pair_family_label,final_pair_available,final_pair_reason,outcome_table_kind,target_outcome_dependency
vic_la_2010,mitcham,Mitcham,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmitchamdistrict.html,48bc94abba67307891e35f7f0bb18d013fa4777ca56e4c67f8eb09a19ffa5473,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmitchamdistrict.html,48bc94abba67307891e35f7f0bb18d013fa4777ca56e4c67f8eb09a19ffa5473,"RYALL, Dee",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,Coalition,"ROBINSON, Tony",ALP,ALP,15946,47.23,"RYALL, Dee",Liberal,Coalition,17817,52.77,Coalition,ALP-Coalition,True,official-results-after-distribution-of-preferences,results-after-distribution,False
vic_la_2010,monbulk,Monbulk,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmonbulkdistrict.html,7a6b871ea234011675d67890758be6ac0d749ff89228dd9bfafa5694929dd651,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmonbulkdistrict.html,7a6b871ea234011675d67890758be6ac0d749ff89228dd9bfafa5694929dd651,"MERLINO, James",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,"MERLINO, James",ALP,ALP,17684,51.88,"MILLS, Matt",Liberal,Coalition,16404,48.12,ALP,ALP-Coalition,True,official-results-after-distribution-of-preferences,results-after-distribution,False
vic_la_2010,mordialloc,Mordialloc,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmordiallocdistrict.html,753358b71edc58fc12273d7647e7578d66eeb4c066f608e42efec1f8af0cb7f5,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmordiallocdistrict.html,753358b71edc58fc12273d7647e7578d66eeb4c066f608e42efec1f8af0cb7f5,"WREFORD, Lorraine",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,Coalition,"MUNT, Janice",ALP,ALP,17616,47.93,"WREFORD, Lorraine",Liberal,Coalition,19137,52.07,Coalition,ALP-Coalition,True,official-results-after-distribution-of-preferences,results-after-distribution,False
vic_la_2010,mornington,Mornington,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmorningtondistrict.html,984a10d91db8d609d0643cb8cde31a08e33aab2d5c6a504934e4b9ac4312dbd1,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmorningtondistrict.html,984a10d91db8d609d0643cb8cde31a08e33aab2d5c6a504934e4b9ac4312dbd1,"MORRIS, David",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,Coalition,,,,,,,,,,,Coalition,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,morwell,Morwell,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmorwelldistrict.html,eefe997b139f17af11c3b40069d1973cd2f681b3928645f59f43d7ce0fef2498,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmorwelldistrict.html,eefe997b139f17af11c3b40069d1973cd2f681b3928645f59f43d7ce0fef2498,"NORTHE, Russell",NATIONAL PARTY OF AUSTRALIA - VICTORIA,Coalition,,,,,,,,,,,Coalition,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,mount-waverley,Mount Waverley,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmountwaverleydistrict.html,99acaa998eaf6f5b3045e76096c6777328879a82596ba1b44e2426cb723fe166,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmountwaverleydistrict.html,99acaa998eaf6f5b3045e76096c6777328879a82596ba1b44e2426cb723fe166,"GIDLEY, Michael",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,Coalition,,,,,,,,,,,Coalition,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,mulgrave,Mulgrave,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmulgravedistrict.html,e91dc7c3dd28e0b2fc1eea0aa7d5234ded65d7516e24ab0bdd51a8b6c195b1d9,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmulgravedistrict.html,e91dc7c3dd28e0b2fc1eea0aa7d5234ded65d7516e24ab0bdd51a8b6c195b1d9,"ANDREWS, Daniel",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,,,,,,,,,,,ALP,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,murray-valley,Murray Valley,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmurrayvalleydistrict.html,df93e7751b56db2785a741926bf8716c40dd2afe54f327b30d0176b9a32fb9ff,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultmurrayvalleydistrict.html,df93e7751b56db2785a741926bf8716c40dd2afe54f327b30d0176b9a32fb9ff,"McCURDY, Tim",NATIONAL PARTY OF AUSTRALIA - VICTORIA,Coalition,,,,,,,,,,,Coalition,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,narracan,Narracan,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultnarracandistrict.html,6e3dc8b2a4212050d6f07efce567cdae56f9ed55cc0478e51a8060eb38f80ac0,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultnarracandistrict.html,6e3dc8b2a4212050d6f07efce567cdae56f9ed55cc0478e51a8060eb38f80ac0,"BLACKWOOD, Gary",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,Coalition,,,,,,,,,,,Coalition,,False,official-page-exposes-only-two-candidate-preferred-or-early-majority,final-pair-unavailable-early-majority,False
vic_la_2010,narre-warren-north,Narre Warren North,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultnarrewarrennorthdistrict.html,0e9b2ef7d7c1fc0fb3cdc7dda53e51cdf78831dd94675b51da7eaa4dfe83e2a3,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultnarrewarrennorthdistrict.html,0e9b2ef7d7c1fc0fb3cdc7dda53e51cdf78831dd94675b51da7eaa4dfe83e2a3,"DONNELLAN, Luke",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,ALP,"DONNELLAN, Luke",ALP,ALP,18739,52.97,"FRAZER, Michelle",Liberal,Coalition,16638,47.03,ALP,ALP-Coalition,True,official-results-after-distribution-of-preferences,results-after-distribution,False
