election_id,region_id,region_name,source_type,source_url,sha256,bytes
vic_lc_2018,eastern-victoria-region,Eastern Victoria Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/files/easternvictoriaregiondistributions.xls,64e5c5f6a9cc1652aa35f5c6ea1500e3904c04beb857cf3e1c2a6b1a36b2bf3a,259584
vic_lc_2018,northern-metropolitan-region,Northern Metropolitan Region,region-result-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/northernmetropolitanregion.html,0ad52789a33d75c5b05051ad40772b472b16b2b28d9888e8e15ff48a161fcf72,15301
vic_lc_2018,northern-metropolitan-region,Northern Metropolitan Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/files/northernmetropolitanregiondistributions.xls,c1d5c37990c5411584097eada4cb7e8d13c2d79ff3ee8a9464de3bb1cf4d0f32,286720
vic_lc_2018,northern-victoria-region,Northern Victoria Region,region-result-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/northernvictoriaregion.html,d35a6d1b6da626a814f31455b9a9ad72e39eb791563a238bf94a52bf3d71e6d6,13853
vic_lc_2018,northern-victoria-region,Northern Victoria Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/files/northernvictoriaregiondistributions.xls,46eacd97fd2910e25ed36e6b7c0229159ced1bb8549eaa96c3132c7ee9aea047,218112
vic_lc_2018,south-eastern-metropolitan-region,South-Eastern Metropolitan Region,region-result-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/south-easternmetropolitanregion.html,39a1e82c3af644a7d9b0bd1d735f7d050e7227dee04184ee04f05c3aa6839546,15423
vic_lc_2018,south-eastern-metropolitan-region,South-Eastern Metropolitan Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/files/south-easternmetropolitanregiondistributions.xls,dea9b0ed8b1eae3f3fc4ee30c01d7bb7b073e793c47b770809532808097cc890,326656
vic_lc_2018,southern-metropolitan-region,Southern Metropolitan Region,region-result-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/southernmetropolitanregion.html,cbcc7bda1d82800eabe353a2cff6a18280482e196bd98792f0777c9602af21db,13883
vic_lc_2018,southern-metropolitan-region,Southern Metropolitan Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/files/southernmetropolitanregiondistributions.xls,9bf74fab70a63be53d78dbbc2e3e926a20f59a541026c0fbc7a74490ba8a5f9a,304640
vic_lc_2018,western-metropolitan-region,Western Metropolitan Region,region-result-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/westernmetropolitanregion.html,bf955809c4d42354a5325af426abd2bbdfab613a8a235483a27fb1a8fe9b11f9,14485
vic_lc_2018,western-metropolitan-region,Western Metropolitan Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/files/westernmetropolitanregiondistributions.xls,f8e3ecf1be8937b3ce6c6491eefbbf376f1faef9750f298eec15c945c4a4e0ad,287744
vic_lc_2018,western-victoria-region,Western Victoria Region,region-result-page,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/westernvictoriaregion.html,4d0d30d63be5961ac3386feae628044b67176aec2b41044fbf4128a84e6a2cbc,13891
vic_lc_2018,western-victoria-region,Western Victoria Region,distribution-workbook,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/files/westernvictoriaregiondistributions.xls,899b40bc0bfc5033000272583938152860eabd0f503e785606e0f1fcdd1e6686,265728
