election_year,district_name,contest,source_url,sha256
2014,Euroa,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/euroadistrict.html,0e50a39cd850ae4c19c90e11e8f6f9ae8879a8bfa984f5c8392e3719a84055b8
2014,Evelyn,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/evelyndistrict.html,4ea7219401d3dafbb5881a8e926fcb6d1a36cb609f8fda9706bac32966ecbc68
2014,Ferntree Gully,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/ferntreegullydistrict.html,630eb33d433a3d0144f9f7c82f0aed6b667fd3029663402293bab34867b381ec
2014,Footscray,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/footscraydistrict.html,205c3fea820f0b8dd1fce4e8229f4ffb533643b31e317a731f53f0cf8ebe4328
2014,Forest Hill,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/foresthilldistrict.html,e7e47d266e3804013dd666c5408632ccc40320e761b2e86fbfe723e098b2fc6d
2014,Frankston,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/frankstondistrict.html,e6acca82e35bcfd96745cc24570c041a53ea9412cbd477686c5b4c8e40a39f33
2014,Geelong,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/geelongdistrict.html,7f865a8b1649ded1270db2c813069a865b421d0fc53d8b1de9b9f44a03cc80f1
2014,Gembrook,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/gembrookdistrict.html,728186dce00c3b225cb21bfb251d5c11e43703a9931683b106f8da81be5823bc
2014,Gippsland East,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/gippslandeastdistrict.html,ae3061a4c09902d00d316348305a382bfb85d22d5195c3322d3bc625ea5bbb16
2014,Gippsland South,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/gippslandsouthdistrict.html,a7f93eaab3baf4e9a757eb11b8a3b8d488eea5998dc6bcc2482801af461bf2a4
2014,Hastings,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/hastingsdistrict.html,442f033c4be61c939cf25971074fed07ff5995c0df35a2f57ea3113fea62c0c7
2014,Hawthorn,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/hawthorndistrict.html,18f21de30536ce87d5e629e8dd72b20b2732a9653691319290f06ca1eb5a92b2
2014,Ivanhoe,general-election,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/ivanhoedistrict.html,bfa5483862ece29d72bec6521e2cf96a6d357e130bd6e9651cd57864da07ba24
